# Array shape: (12, 8, 37) as (month, hours, vertical levels)
#Jan slice
nan     nan     4.36    6.68    8.17    8.96    9.67    9.70    9.50    9.34    8.96    8.84    8.70    8.54    8.64    8.52    8.62    8.80    9.17    9.48    9.81    10.31   11.06   12.03   13.13   14.24   15.22   16.21   16.18   15.53   13.53   9.64    5.00    1.36    0.07    0.01    0.00   
nan     nan     4.59    6.50    8.02    8.52    8.99    8.84    8.66    8.16    7.77    7.85    7.78    7.54    7.34    7.40    7.77    8.36    8.97    9.60    10.25   10.94   11.79   12.66   13.49   14.64   15.52   15.81   15.12   14.04   12.04   9.16    4.97    1.30    0.05    0.00    0.00   
nan     nan     5.61    7.17    8.07    8.47    8.46    8.34    8.45    8.17    8.04    7.83    7.79    7.55    7.82    8.23    8.84    9.21    9.67    10.43   11.26   11.91   12.54   13.21   13.92   14.89   15.60   15.98   15.97   14.82   12.02   8.13    4.79    1.23    0.06    0.01    0.00   
nan     nan     6.57    8.09    8.16    8.23    8.18    8.13    8.12    8.12    8.27    8.10    8.02    8.06    8.22    8.51    9.15    9.46    9.87    10.45   11.20   11.98   12.70   13.49   14.31   15.36   16.36   16.85   16.47   15.83   12.99   9.23    5.36    1.49    0.13    0.00    0.00   
nan     nan     7.12    8.88    8.43    8.36    7.95    7.86    7.71    7.83    7.88    7.75    7.51    7.70    8.18    8.62    9.31    9.86    10.30   10.93   11.46   11.79   12.22   12.87   13.93   15.53   16.79   17.56   18.24   17.04   14.60   10.29   6.01    1.86    0.15    0.00    0.00   
nan     nan     7.13    9.67    9.24    9.34    8.68    8.42    8.45    8.20    7.81    7.85    8.05    8.27    8.30    8.63    9.05    9.34    9.78    10.42   10.89   11.09   11.34   11.88   12.80   14.15   15.41   16.11   16.61   16.34   14.40   10.16   5.40    1.50    0.19    0.00    0.00   
nan     nan     5.41    8.85    10.24   10.63   10.55   10.32   10.04   9.43    8.92    8.67    8.59    8.71    8.62    8.63    8.94    9.35    9.77    10.15   10.46   10.71   11.01   11.61   12.70   13.96   15.03   15.84   15.89   15.51   13.47   9.63    4.45    1.11    0.21    0.00    0.00   
nan     nan     4.46    7.81    9.97    10.64   11.01   11.29   10.80   10.49   10.38   9.94    9.45    9.05    8.87    9.10    9.48    9.85    10.19   10.42   10.64   10.92   11.26   11.85   12.90   14.13   15.15   15.99   15.99   15.50   13.75   9.98    4.72    1.27    0.17    0.01    0.00   
#Feb slice
nan     nan     3.05    5.44    7.41    8.41    8.91    8.97    8.52    8.10    7.69    7.47    7.16    6.80    7.12    7.46    7.56    7.70    7.92    8.34    9.21    10.28   11.09   11.93   13.31   15.06   16.43   17.08   16.85   15.34   12.93   8.67    3.65    0.83    0.07    0.00    0.00   
nan     nan     3.39    5.17    6.05    7.07    7.59    7.61    7.28    7.00    6.84    7.17    7.38    7.20    7.30    7.32    7.71    7.97    8.28    8.68    9.47    10.44   11.14   12.04   13.65   15.55   16.70   17.01   16.72   15.25   13.10   9.04    3.90    0.72    0.03    0.00    0.00   
nan     nan     4.23    6.29    7.40    7.36    7.61    7.72    7.52    7.60    7.59    7.59    8.11    7.81    7.89    8.14    8.21    8.38    8.58    8.77    9.25    10.15   11.24   12.53   14.05   15.59   16.83   17.43   17.09   16.03   13.34   8.99    4.23    0.84    0.04    0.00    0.00   
nan     nan     5.32    7.11    7.97    7.78    7.73    7.74    7.52    7.74    7.63    7.70    8.06    8.13    8.33    8.79    9.26    9.54    9.65    9.91    10.28   10.72   11.65   13.13   14.73   16.36   17.58   17.83   17.16   16.03   13.54   8.76    3.98    0.85    0.08    0.00    0.00   
nan     nan     5.73    7.28    7.45    7.48    7.81    8.11    8.16    8.07    7.82    7.54    7.43    8.06    8.53    8.88    8.99    9.21    9.66    10.20   10.64   11.03   11.58   12.64   14.35   15.99   17.22   17.98   17.84   16.21   13.49   9.19    3.76    0.82    0.08    0.00    0.00   
nan     nan     5.67    7.92    9.10    8.89    8.85    8.98    8.64    8.24    7.86    7.72    7.72    8.00    8.49    8.58    8.81    9.24    9.68    9.96    10.34   10.92   11.72   12.86   13.94   15.34   16.90   17.87   17.77   16.00   13.42   9.10    3.74    0.75    0.08    0.00    0.00   
nan     nan     3.81    6.66    9.10    10.59   10.59   10.24   9.57    9.46    8.94    8.27    7.99    7.73    7.43    7.38    7.39    7.77    8.24    8.58    9.11    10.09   11.21   12.45   14.09   15.36   16.83   18.01   17.58   15.87   12.96   8.52    3.52    0.79    0.07    0.00    0.00   
nan     nan     2.86    5.96    8.52    10.31   11.06   10.78   9.78    8.73    8.28    7.50    7.22    7.02    6.85    6.69    6.97    7.32    7.64    8.11    8.90    9.92    10.86   11.83   13.32   14.82   16.33   17.54   17.23   15.13   12.43   8.56    3.77    0.95    0.08    0.00    0.00   
#Mar slice
nan     nan     2.15    4.01    5.66    6.30    7.21    7.98    8.88    9.39    9.15    8.49    7.87    7.42    7.18    6.86    6.62    6.56    6.72    7.23    8.08    9.15    10.34   11.59   13.10   14.89   16.50   17.49   18.14   18.09   16.22   12.32   7.64    2.82    0.49    0.06    0.00   
nan     nan     3.04    4.84    5.77    6.19    6.94    7.46    7.81    8.14    8.07    7.86    7.49    7.10    6.86    6.79    6.58    6.62    7.08    7.79    8.67    9.55    10.45   11.82   13.54   15.43   16.86   17.91   19.00   18.84   16.63   12.95   7.24    2.21    0.29    0.03    0.00   
nan     nan     4.54    6.83    7.12    6.77    7.05    7.15    7.20    7.42    7.58    7.19    7.13    6.99    7.12    7.23    7.38    7.67    7.99    8.37    8.99    9.82    10.55   11.34   12.63   14.17   16.10   18.17   19.28   19.83   17.65   13.12   6.99    2.17    0.28    0.04    0.00   
nan     nan     5.65    8.23    8.25    7.96    8.10    8.30    8.49    8.69    8.68    7.98    7.66    7.85    7.80    7.81    7.99    8.43    8.79    8.93    9.22    9.87    10.44   10.99   12.17   14.25   16.90   19.01   19.96   19.91   17.88   13.04   7.13    2.14    0.36    0.02    0.00   
nan     nan     5.73    8.19    9.07    8.49    8.56    8.48    8.41    8.33    7.88    7.36    6.83    6.89    7.27    7.46    8.01    8.48    8.80    9.09    9.37    9.87    10.87   12.03   13.64   15.51   17.49   19.20   19.79   19.02   17.17   12.35   6.60    2.19    0.41    0.04    0.00   
nan     nan     3.51    6.79    8.27    9.43    10.11   10.13   9.73    9.05    8.67    7.86    7.40    7.02    7.18    7.66    8.03    8.41    8.70    8.98    9.33    9.99    10.99   12.04   13.55   15.60   17.49   18.79   18.77   17.98   16.70   12.37   7.09    2.42    0.38    0.04    0.01   
nan     nan     1.70    4.13    6.11    7.63    10.03   11.31   11.40   10.90   10.29   9.56    9.21    8.59    8.35    8.11    7.87    7.86    8.16    8.77    9.47    10.04   10.66   11.73   13.34   15.11   16.93   18.06   18.43   17.95   16.63   12.78   7.67    2.73    0.51    0.03    0.00   
nan     nan     1.34    3.42    5.74    6.93    8.91    10.03   10.65   11.02   10.47   9.81    9.12    8.36    7.77    7.20    6.93    7.13    7.67    8.32    8.91    9.39    9.98    11.06   12.84   14.74   16.29   17.48   18.43   17.97   16.33   12.61   8.13    3.25    0.64    0.04    0.00   
#Apr slice
nan     nan     1.61    4.11    5.52    5.87    6.49    7.38    8.43    9.05    9.05    9.22    8.54    8.06    7.52    7.15    6.60    6.39    6.31    6.35    6.58    7.14    8.14    9.02    10.11   11.54   13.42   15.26   17.39   19.42   19.70   17.93   12.79   6.83    3.63    1.19    0.06   
nan     nan     3.03    5.37    5.91    5.89    6.26    6.12    6.90    7.53    7.48    7.88    7.68    6.79    6.21    5.88    5.78    5.90    6.27    6.69    7.26    8.13    9.11    10.14   11.18   12.64   14.53   16.56   18.22   19.56   19.33   17.77   12.53   6.54    3.05    0.82    0.03   
nan     nan     4.45    7.36    7.93    7.46    7.46    7.34    7.60    7.41    6.87    6.90    6.52    5.87    5.42    5.31    5.56    6.10    6.68    7.17    7.77    8.68    9.65    10.41   11.28   12.81   14.73   16.66   18.15   19.01   19.06   17.10   12.35   6.60    2.74    0.65    0.03   
nan     nan     6.13    9.87    10.92   9.98    9.16    8.58    8.03    7.47    6.78    6.40    5.89    5.83    5.68    5.66    5.81    6.06    6.53    7.07    7.67    8.32    8.87    9.67    10.56   12.14   14.26   16.38   17.90   18.54   17.98   16.11   11.69   6.59    2.20    0.51    0.01   
nan     nan     5.80    9.61    10.95   10.03   8.92    8.30    7.73    7.12    6.45    6.09    5.67    5.67    5.45    5.60    5.73    6.01    6.33    6.51    6.86    7.53    8.18    8.86    10.03   11.99   14.08   15.92   17.34   17.50   16.04   13.71   10.78   6.38    2.22    0.64    0.03   
nan     nan     1.71    4.42    6.96    9.33    10.85   10.72   10.10   9.09    8.16    7.03    6.35    6.03    5.71    5.86    6.01    6.23    6.44    6.69    7.11    7.79    8.55    9.23    10.42   12.52   14.47   16.15   17.49   17.27   15.32   13.00   9.99    5.95    2.73    0.87    0.09   
nan     nan     0.81    3.02    4.46    6.59    9.01    10.70   11.85   11.65   10.84   9.84    8.97    8.59    7.88    7.11    6.57    6.22    6.30    6.76    7.51    8.53    9.55    10.33   11.36   12.80   14.17   15.39   17.06   17.24   16.71   14.85   11.57   6.95    4.17    1.55    0.14   
nan     nan     0.90    2.55    4.25    6.10    7.82    9.99    11.31   11.38   11.17   10.78   10.24   9.00    8.15    7.44    6.77    6.40    6.31    6.40    6.67    7.33    8.33    9.08    10.22   11.63   13.16   15.09   17.15   18.04   18.36   17.02   13.14   8.13    4.94    1.72    0.10   
#May slice
nan     nan     0.91    2.87    4.29    4.64    5.00    5.51    5.78    6.01    6.17    5.85    5.52    5.41    5.22    4.91    4.68    4.54    4.31    4.35    4.89    5.69    6.67    7.90    9.08    10.35   12.31   14.70   17.39   20.76   24.63   27.31   26.61   22.98   14.35   4.64    0.27   
nan     nan     2.12    5.12    5.88    5.52    4.73    4.50    4.83    4.65    4.38    4.29    4.34    4.13    3.89    3.65    3.60    3.51    3.47    3.73    4.26    5.03    6.18    7.35    8.25    9.70    11.83   14.56   17.63   21.38   25.14   27.46   25.13   19.88   10.61   2.83    0.16   
nan     nan     4.04    6.75    7.10    6.02    5.59    5.36    4.89    4.55    4.25    4.01    3.84    3.69    3.51    3.36    3.42    3.49    3.64    4.13    4.83    5.60    6.59    7.29    7.59    8.93    11.09   13.70   16.43   19.86   22.79   23.33   20.95   15.62   7.90    2.03    0.16   
nan     nan     6.05    9.16    9.18    7.73    6.97    6.75    6.20    5.41    4.38    4.10    3.96    4.11    4.10    4.04    3.97    3.86    4.00    4.44    4.87    5.29    6.00    6.52    6.89    7.98    9.91    12.51   14.79   17.11   20.02   20.09   17.49   13.22   6.69    1.68    0.12   
nan     nan     4.54    8.18    11.41   10.29   8.25    7.04    6.39    5.64    4.74    4.45    4.36    4.27    4.34    4.37    4.08    3.90    3.95    4.24    4.70    5.34    6.16    6.84    7.23    7.86    9.30    11.21   13.09   15.82   18.11   17.74   14.87   10.44   5.53    1.27    0.06   
nan     nan     0.59    2.53    5.24    8.59    11.16   11.44   10.66   8.56    6.69    5.75    5.48    5.24    4.92    4.52    4.21    4.02    3.95    3.92    4.13    4.83    5.81    6.62    7.15    7.72    8.98    10.92   12.64   15.74   17.98   17.47   14.88   11.02   6.17    2.22    0.18   
nan     nan     0.24    1.52    2.93    4.83    7.35    9.81    11.26   10.79   8.94    7.18    6.18    5.94    5.79    5.36    4.87    4.40    3.98    3.85    4.10    4.54    5.10    5.95    6.94    7.72    8.92    10.62   12.62   15.53   18.66   19.66   17.89   15.14   10.79   4.91    0.53   
nan     nan     0.41    1.60    3.42    4.78    6.08    7.51    8.60    8.65    8.12    6.72    5.87    5.48    5.38    5.11    4.76    4.34    3.98    3.92    4.15    4.66    5.53    6.72    8.10    9.26    10.59   12.65   15.00   17.83   21.72   23.85   22.70   20.60   15.32   6.18    0.54   
#Jun slice
nan     nan     0.05    0.42    1.20    1.25    1.54    1.93    2.26    2.40    2.54    2.13    1.82    1.72    1.75    2.09    2.49    2.70    2.61    2.53    2.72    3.15    3.73    4.47    5.29    5.89    6.83    8.80    11.37   14.65   19.74   27.15   29.16   24.55   15.56   5.06    0.73   
nan     nan     0.44    0.91    1.35    1.27    1.61    1.81    1.74    1.75    1.54    1.14    1.11    1.13    1.17    1.40    1.63    1.74    1.68    1.70    1.95    2.39    3.04    3.82    4.42    5.20    6.64    8.70    11.06   14.61   20.24   26.53   25.65   19.64   10.78   3.03    0.58   
nan     nan     1.11    1.91    2.10    2.08    1.99    1.90    1.82    1.53    1.28    0.90    0.74    0.81    0.96    1.18    1.33    1.53    1.52    1.49    1.65    1.93    2.29    2.88    3.64    4.28    5.39    7.06    9.01    11.91   16.44   20.15   19.33   14.29   7.49    2.38    0.54   
nan     nan     2.60    3.32    3.11    2.85    2.69    2.32    2.03    1.89    1.67    1.30    1.16    1.07    1.08    1.38    1.68    1.89    1.80    1.59    1.51    1.73    2.20    2.74    3.30    3.70    4.42    5.42    6.85    9.14    12.23   14.56   13.64   10.22   5.35    1.79    0.31   
nan     nan     1.12    3.12    4.35    4.51    3.87    3.28    2.71    2.24    1.81    1.32    1.28    1.33    1.55    1.84    1.95    1.93    1.94    2.04    2.22    2.47    2.74    3.04    3.31    3.49    3.90    4.62    6.08    7.88    10.06   11.26   9.79    6.81    3.38    1.26    0.15   
nan     nan     0.23    1.31    1.58    3.27    4.69    5.05    5.22    4.58    3.32    2.73    2.58    2.57    2.90    3.17    3.27    3.00    2.78    2.61    2.60    2.85    3.20    3.66    3.89    4.00    4.37    5.36    6.72    8.27    10.31   11.97   10.69   7.83    5.35    3.29    0.57   
nan     nan     0.06    0.77    1.34    1.83    2.77    4.33    5.68    5.68    5.09    4.22    3.34    3.42    3.31    3.74    4.14    3.95    3.45    2.91    2.61    2.70    2.95    3.42    4.02    4.32    4.89    5.92    7.59    9.65    12.70   16.14   16.46   14.94   12.36   6.89    1.19   
